URLs Downloaded, Size, # of outlinks found, Content-type
https://www.wsj.com/,955918,390,text/html
https://www.wsj.com/articles/kavanaugh-confirmation-process-encounters-more-uncertainty-1537798999?mod=trending_now_4,1036004,263,text/html
https://www.wsj.com/articles/instagram-co-founders-to-step-down-from-facebook-1537843179?mod=article_inline,1034049,261,text/html
https://www.wsj.com/news/types/ahead-of-the-tape,614661,241,text/html
https://www.wsj.com/video/browse/business/economy,49794,108,text/html
https://www.wsj.com/video/subject/mansion,49062,108,text/html
https://www.wsj.com/articles/why-the-left-is-consumed-with-hate-1537723198?mod=trending_now_3,1032107,257,text/html
https://www.wsj.com/graphics/billion-dollar-club/,67648,228,text/html
https://www.wsj.com/articles/shoppers-love-rewards-credit-cards-retailers-hate-them-1537867801?mod=trending_now_4,1035954,259,text/html
https://www.wsj.com/video/browse/news/world-news,49352,108,text/html
https://www.wsj.com/amp/articles/instagram-co-founders-to-step-down-from-facebook-1537843179,53427,31,text/html
https://www.wsj.com/articles/facebook-has-troubles-with-the-better-half-1537893762?mod=article_inline,1031756,259,text/html
https://www.wsj.com/news/technology,401233,292,text/html
https://www.wsj.com/news/author/8237,414772,247,text/html
https://www.wsj.com/news/types/exhibition-review,642714,266,text/html
https://www.wsj.com/articles/why-the-left-is-consumed-with-hate-1537723198?mod=trending_now_2,1031873,257,text/html
https://www.wsj.com/articles/shoppers-love-rewards-credit-cards-retailers-hate-them-1537867801?mod=trending_now_2,1035923,259,text/html
https://www.wsj.com/articles/the-colleges-that-offer-the-best-financial-futures-1536188587?mod=hp_listb_pos1,1057514,291,text/html
https://www.wsj.com/news/life-arts/automotive,905460,247,text/html
https://www.wsj.com/articles/instagram-co-founders-to-step-down-from-facebook-1537843179,1033790,260,text/html
https://www.wsj.com/news/types/masterpiece,639212,266,text/html
https://www.wsj.com/news/markets,543455,309,text/html
https://www.wsj.com/articles/shoppers-love-rewards-credit-cards-retailers-hate-them-1537867801?mod=hp_lead_pos5,1035953,260,text/html
https://www.wsj.com/news/cio-journal,663024,305,text/html
https://www.wsj.com/amp/articles/kavanaugh-confirmation-process-encounters-more-uncertainty-1537798999,58318,36,text/html
https://www.wsj.com/video/browse/business,48681,108,text/html
https://www.wsj.com/articles/sen-feinstein-clean-up-your-mess-1537915772?mod=hp_opin_pos2,1031923,260,text/html
https://www.wsj.com/podcasts/latest/wsj-opinion-foreign-edition,118123,84,text/html
https://www.wsj.com/articles/the-politics-of-destruction-1537831889?mod=trending_now_4,1031338,261,text/html
https://www.wsj.com/articles/adult-swim-tries-a-new-channel-a-weekend-festival-1537882222,1034171,261,text/html
https://www.wsj.com/news/types/europe-news,643002,266,text/html
https://www.wsj.com/news/logistics-report,373054,286,text/html
https://www.wsj.com/news/business/financial-services,641905,284,text/html
https://www.wsj.com/news/author/7635,414773,247,text/html
https://www.wsj.com/news/life-arts,1185643,289,text/html
https://www.wsj.com/podcasts/latest/wsj-your-money-matters,120711,84,text/html
https://www.wsj.com/news/life-arts/books,849405,286,text/html
https://www.wsj.com/news/tech/future-of-everything,920745,260,text/html
https://www.wsj.com/articles/photos-of-the-day-sept-25-1537907453?mod=hp_slidecent_pos1,1028724,257,text/html
https://www.wsj.com/news/author/5472,550236,271,text/html
https://www.wsj.com/articles/michael-kors-near-deal-to-buy-versace-for-around-2-35-billion-1537790108?mod=trending_now_5,1036537,261,text/html
https://www.wsj.com/news/business/retail-industry,640985,284,text/html
https://www.wsj.com/articles/former-bankrate-cfo-sentenced-to-10-years-for-accounting-fraud-1537915844?mod=hp_major_pos15,1049608,261,text/html
https://www.wsj.com/articles/kavanaugh-confirmation-process-encounters-more-uncertainty-1537798999,1035644,262,text/html
https://www.wsj.com/news/author/5470,419030,249,text/html
https://www.wsj.com/news/author/5356,438977,252,text/html
https://www.wsj.com/news/author/8271,414845,247,text/html
https://www.wsj.com/news/types/journal-reports-wealth-management,640744,267,text/html
https://www.wsj.com/policy/data-policy?mod=video,588276,238,text/html
https://www.wsj.com/newsletters/?mod=wsjfooter,429862,277,text/html
https://www.wsj.com/articles/u-s-home-price-gains-decelerated-in-july-1537881385?mod=article_inline,1031216,258,text/html
https://www.wsj.com/articles/post-moonves-cbs-should-put-more-women-on-tv-1537869600,1030547,257,text/html
https://www.wsj.com/policy/copyright-policy?mod=video,588119,238,text/html
https://www.wsj.com/articles/sirius-xm-is-buying-pandora-1537788241?mod=hp_major_pos18,1037133,262,text/html
https://www.wsj.com/video?mod=wsjheader,73085,95,text/html
https://www.wsj.com/articles/the-politics-of-destruction-1537831889?mod=trending_now_5,1031117,261,text/html
https://www.wsj.com/articles/l-a-estate-immortalized-in-the-godfather-lists-again-for-135-million-1537887622?mod=hp_major_pos22,1034536,261,text/html
https://www.wsj.com/video/browse/news/us-news,49217,108,text/html
https://www.wsj.com/news/life-arts/travel,931394,287,text/html
https://www.wsj.com/articles/philippines-central-bank-official-indicates-rate-increase-1537888217?mod=hp_major_pos10,1033400,260,text/html
https://www.wsj.com/articles/wpp-considers-merger-of-young-rubicam-and-digital-ad-firm-vml-1537729991?mod=hp_minor_pos1,1035863,262,text/html
https://www.wsj.com/articles/south-carolina-faces-more-flooding-as-rivers-continue-to-crest-1537907220?mod=hp_lead_pos9,1033108,260,text/html
https://www.wsj.com/articles/facebook-has-troubles-with-the-better-half-1537893762,1031507,258,text/html
https://www.wsj.com/news/author/6210,548338,272,text/html
https://www.wsj.com/news/business,680015,300,text/html
https://www.wsj.com/articles/exploring-a-museums-shifting-identity-1525722619,1030018,257,text/html
https://www.wsj.com/news/author/8587,414732,247,text/html
https://www.wsj.com/articles/irs-is-wrongly-denying-tax-refunds-some-companies-say-1537869600?mod=hp_listc_pos4,1033617,259,text/html
https://www.wsj.com/news/cfo-journal,672773,317,text/html
https://www.wsj.com/articles/nikes-sales-rise-10-on-higher-spending-on-sneakers-and-apparel-1537910370?mod=hp_lista_pos5,1035156,262,text/html
https://www.wsj.com/articles/ntsb-urges-safety-upgrades-to-prevent-taxiway-collisions-1537915245?mod=hp_listc_pos2,1032227,259,text/html
https://www.wsj.com/articles/new-tariffs-bring-new-headaches-on-top-of-higher-costs-1537825011?mod=hp_minor_pos13,1050933,263,text/html
https://www.wsj.com/amp/articles/facebook-has-troubles-with-the-better-half-1537893762,47756,33,text/html
https://www.wsj.com/news/markets/bonds,741378,280,text/html
https://www.wsj.com/articles/an-exhibition-to-tickle-you-pink-1536691623,1029410,257,text/html
https://www.wsj.com/news/us/greater-new-york,1247892,282,text/html
https://www.wsj.com/articles/salesforce-partners-with-apple-for-business-apps-1537801889,1031732,259,text/html
https://www.wsj.com/news/life-arts/food-cooking-drink,957658,287,text/html
https://www.wsj.com/articles/supreme-court-rules-for-american-express-in-swipe-fee-antitrust-case-1529936932?mod=article_inline,1036366,262,text/html
https://www.wsj.com/articles/instagrams-kevin-systrom-on-the-platform-he-built-for-one-billion-users-1537886795?mod=article_inline,1065025,266,text/html
https://www.wsj.com/articles/red-sox-hope-price-is-right-for-october-1537798976?mod=hp_major_pos26,1032392,262,text/html
https://www.wsj.com/articles/2019-jaguar-i-pace-an-electric-suv-hot-on-teslas-heels-1537538128,1033148,261,text/html
https://www.wsj.com/articles/finance-chiefs-see-talent-development-among-top-concerns-1537563039?mod=hp_minor_pos9,1032781,261,text/html
https://www.wsj.com/articles/contemporary-muslim-fashions-review-eye-catching-modesty-1537391430,953893,33,text/html
https://www.wsj.com/articles/state-officials-open-to-joint-probes-of-big-tech-companies-1537913021,1035981,262,text/html
https://www.wsj.com/news/business/natural-resources,640513,284,text/html
https://www.wsj.com/news/types/the-saturday-interview,639825,266,text/html
https://www.wsj.com/news/magazine/fashion,679522,271,text/html
https://www.wsj.com/articles/nba-players-are-better-shooters-now-just-ask-them-1537873200?mod=hp_major_pos25,1033438,262,text/html
https://www.wsj.com/articles/argentina-central-bank-president-resigns-1537885453?mod=hp_major_pos2,1033446,260,text/html
https://www.wsj.com/news/types/cultural-commentary,640540,266,text/html
https://www.wsj.com/articles/singapore-imposes-fines-restrictions-over-uber-grab-deal-1537767485,1035557,262,text/html
https://www.wsj.com/articles/americans-and-the-holocaust-review-what-we-could-have-done-1525122440,953581,33,text/html
https://www.wsj.com/articles/survey-shows-common-crime-rose-in-mexico-in-2017-1537901351?mod=hp_major_pos3,1030803,258,text/html
https://www.wsj.com/articles/michael-kors-near-deal-to-buy-versace-for-around-2-35-billion-1537790108?mod=trending_now_3,1036573,261,text/html
https://www.wsj.com/podcasts/latest/wsj-tech-news-briefing,119622,84,text/html
https://www.wsj.com/articles/facebooks-messing-with-instagram-prompted-co-founders-departure-1537905005?mod=hp_lead_pos7,1035093,261,text/html
https://www.wsj.com/news/markets/stocks,821775,287,text/html
https://www.wsj.com/articles/winnie-the-pooh-exploring-a-classic-review-an-un-stuffed-story-1529146800,1030643,257,text/html
https://www.wsj.com/articles/uber-wins-court-appeal-over-drivers-working-classification-1537898188,1033137,260,text/html
https://www.wsj.com/articles/uber-wins-court-appeal-over-drivers-working-classification-1537898188?mod=hp_lista_pos4,1033375,261,text/html
https://www.wsj.com/news/author/5461,424234,250,text/html
https://www.wsj.com/articles/an-awkward-trek-through-time-at-the-penn-museum-1526325304,1031187,257,text/html
https://www.wsj.com/news/author/8661,421653,249,text/html
https://www.wsj.com/video/browse/life-culture/arts-and-entertainment,49319,108,text/html
https://www.wsj.com/video/browse/business/markets,48623,108,text/html
https://www.wsj.com/news/us,669418,299,text/html
https://www.wsj.com/articles/walk-this-way-footwear-from-the-stuart-weitzman-collection-of-historic-shoes-review-1525200321,1031963,257,text/html
https://www.wsj.com/news/author/5469,414885,246,text/html
https://www.wsj.com/articles/mel-watts-accuser-invited-to-testify-at-hearing-1537900889?mod=hp_listc_pos3,1032390,260,text/html
https://www.wsj.com/articles/please-comb-your-hair-phones-with-facial-recognition-get-judgmental-with-their-owners-1537887972?mod=hp_featst_pos3,1036624,261,text/html
https://www.wsj.com/articles/how-otto-wagner-made-vienna-modern-1528840165,952035,33,text/html
https://www.wsj.com/articles/forget-passwords-its-time-for-passphrases-1537322580,1054437,292,text/html
https://www.wsj.com/articles/explore-the-full-wsj-the-college-rankings-1536187754?mod=article_inline,933029,33,text/html
https://www.wsj.com/articles/instagrams-kevin-systrom-on-the-platform-he-built-for-one-billion-users-1537886795,1064820,265,text/html
https://www.wsj.com/public/page/news-wall-street.html,166478,301,text/html
https://www.wsj.com/articles/new-tamagotchis-and-the-trials-of-digital-parenthood-in-2018-1537892730,1031730,258,text/html
https://www.wsj.com/articles/vox-media-on-pace-to-miss-revenue-target-as-digital-advertising-disappoints-1537742167,1035405,261,text/html
https://www.wsj.com/news/author/5468,414855,246,text/html
https://www.wsj.com/articles/agents-of-faith-votive-objects-in-time-and-place-review-holy-objects-that-transcend-religion-1537909743,1033194,257,text/html
https://www.wsj.com/news/author/7800,414846,246,text/html
https://www.wsj.com/articles/lepoque-des-carrossiers-the-art-and-times-of-the-french-coachbuilders-review-works-of-art-on-wheels-1523703600,954573,33,text/html
https://www.wsj.com/articles/mnuchins-fight-with-activists-inspired-community-reinvestment-act-revamp-1537885753?mod=hp_lead_pos6,1037439,263,text/html
https://www.wsj.com/articles/ios-12-review-free-update-revives-old-phones-makes-siri-useful-1537207214,1036231,260,text/html
https://www.wsj.com/video/browse/tech,48597,108,text/html
https://www.wsj.com/news/markets/oil-gold-commodities-futures,640602,284,text/html
https://www.wsj.com/articles/your-browser-is-the-most-important-app-you-havemake-sure-you-use-the-right-one-1537707600,1034328,260,text/html
https://www.wsj.com/news/types/canada-news,642344,266,text/html
https://www.wsj.com/news/business/defense-aerospace,639849,283,text/html
https://www.wsj.com/articles/chinas-giant-market-for-tiny-cars-1537538585,1033585,260,text/html
https://www.wsj.com/news/types/film-review,641015,266,text/html
https://www.wsj.com/articles/ex-analyst-in-insider-trading-case-faced-sexual-misconduct-allegations-at-harvard-1537867801?mod=hp_listc_pos5,1036474,260,text/html
https://www.wsj.com/news/types/journal-reports-small-business,640459,267,text/html
https://www.wsj.com/articles/they-specialize-in-cutting-your-favorite-music-down-to-size-1537892058?mod=hp_lead_pos11,1032489,259,text/html
https://www.wsj.com/articles/mastercard-visa-agree-to-settle-merchant-antitrust-suit-1537273419?mod=article_inline,1032550,260,text/html
https://www.wsj.com/news/magazine/culture,824978,247,text/html
https://www.wsj.com/articles/arbys-parent-to-buy-sonic-for-2-3-billion-1537884264?mod=hp_lista_pos2,1034390,260,text/html
https://www.wsj.com/articles/whats-a-qcdand-why-taxpayers-need-to-know-the-answer-now-1537754522?mod=hp_featst_pos1,1055531,289,text/html
https://www.wsj.com/articles/the-future-of-credit-card-id-verification-1537754760?cx_refModule=nwsrl&mod=nwsrl_journal_reports_college_rankings,1055805,289,text/html
https://www.wsj.com/articles/a-modern-second-home-retreat-for-seattles-tech-elite-1537371154,956073,34,text/html
https://www.wsj.com/news/realestate,671120,297,text/html
https://www.wsj.com/news/types/notable-quotable,638841,266,text/html
https://www.wsj.com/articles/sailing-the-globe-in-a-gallery-1533321581,1031707,257,text/html
https://www.wsj.com/news/business/management,381956,288,text/html
https://www.wsj.com/news/life-arts/ideas,890025,287,text/html
https://www.wsj.com/articles/banco-santander-names-ubs-investment-bank-head-andrea-orcel-as-next-ceo-1537891709,1035473,261,text/html
https://www.wsj.com/articles/big-techs-business-model-is-broken-report-says-1537826407,1034380,260,text/html
https://www.wsj.com/graphics/tech-startup-stocks-to-watch/,68005,227,text/html
https://www.wsj.com/articles/forget-passwords-its-time-for-passphrases-1537322580?cx_refModule=nwsrl&mod=nwsrl_journal_reports_college_rankings,1055021,293,text/html
https://www.wsj.com/articles/softbank-leads-1-billion-investment-in-indian-hotel-chain-oyo-1537871516,1034785,261,text/html
https://www.wsj.com/news/author/8003,614759,272,text/html
https://www.wsj.com/news/magazine/food,824726,247,text/html
https://www.wsj.com/news/science,533655,277,text/html
https://www.wsj.com/articles/a-multidimensional-religious-story-1528480799,1030456,257,text/html
https://www.wsj.com/podcasts/latest/wsj-opinion-potomac-watch,115878,84,text/html
https://www.wsj.com/news/types/china-news,644258,266,text/html
https://www.wsj.com/articles/please-comb-your-hair-phones-with-facial-recognition-get-judgmental-with-their-owners-1537887972,1036375,260,text/html
https://www.wsj.com/video/browse/life-culture,48788,108,text/html
https://www.wsj.com/articles/big-investors-seek-a-metoo-clawback-1537754820?cx_refModule=nwsrl&mod=nwsrl_journal_reports_college_rankings,1056746,291,text/html
https://www.wsj.com/articles/longing-violence-and-social-rank-1527278581,1029790,257,text/html
https://www.wsj.com/news/types/dance-review,630495,257,text/html
https://www.wsj.com/news/types/latin-america-news,642538,266,text/html
https://www.wsj.com/articles/global-stocks-tick-higher-as-trade-focus-shifts-to-south-korea-1537862190?mod=hp_major_pos20,1035463,262,text/html
https://www.wsj.com/news/types/journal-reports-funds-etfs,640341,267,text/html
https://www.wsj.com/articles/artificial-intelligence-the-robots-are-now-hiring-moving-upstream-1537435820,1073212,264,text/html
https://www.wsj.com/articles/debilitated-but-infinitely-human-1535732524,1031380,257,text/html
https://www.wsj.com/news/types/journal-reports-college-rankings,633816,260,text/html
https://www.wsj.com/articles/twitter-proposes-banning-dehumanizing-content-1537909902?mod=hp_lista_pos3,1033179,262,text/html
https://www.wsj.com/articles/a-better-way-to-think-about-portfolio-rebalancing-1537754941?cx_refModule=nwsrl&mod=nwsrl_journal_reports_college_rankings,1056561,290,text/html
https://www.wsj.com/articles/with-this-ring-i-thee-payno-really-i-do-1537723876,1032435,260,text/html
https://www.wsj.com/video/browse/opinion,49056,108,text/html
https://www.wsj.com/news/magazine/travel,824982,247,text/html
https://www.wsj.com/news/types/journal-reports-leadership,641209,267,text/html
https://www.wsj.com/news/life-arts/fashion,938463,287,text/html
https://www.wsj.com/articles/timeless-preoccupations-and-old-school-virtues-1526670348,1031569,259,text/html
https://www.wsj.com/articles/qualcomm-accuses-apple-of-stealing-intellectual-property-and-giving-it-to-intel-1537883576?mod=hp_lista_pos1,1033741,260,text/html
https://www.wsj.com/articles/the-vikings-were-looking-super-then-they-played-the-bills-1537878681?mod=hp_major_pos27,1032328,259,text/html
https://www.wsj.com/articles/deputy-attorey-general-rod-rosenstein-expects-to-be-fired-monday-1537801806?mod=hp_major_pos9,1039075,264,text/html
https://www.wsj.com/news/economy,671848,306,text/html
https://www.wsj.com/articles/iphone-xs-and-xs-max-review-sit-tight-for-the-xr-1537264800,1034946,261,text/html
https://www.wsj.com/articles/plotting-his-way-into-jazz-history-1536352843,1029415,257,text/html
https://www.wsj.com/news/types/africa-news,643792,266,text/html
https://www.wsj.com/articles/a-severe-take-on-timeless-pleasures-1532710427,1029894,257,text/html
https://www.wsj.com/articles/how-hackers-talk-their-way-into-getting-company-secrets-1537322640?cx_refModule=nwsrl&mod=nwsrl_journal_reports_college_rankings,1055837,292,text/html
https://www.wsj.com/articles/precious-metals-buyers-go-online-1537473145,1056837,290,text/html
https://www.wsj.com/news/business/industrial-services,639302,284,text/html
https://www.wsj.com/news/types/commentary-u-s,638630,266,text/html
https://www.wsj.com/articles/taxiway-collisions-emerge-as-biggest-threat-to-u-s-air-travelers-1537867800?mod=hp_major_pos13,1035709,261,text/html
https://www.wsj.com/articles/amazon-is-a-giant-but-bigness-isnt-a-crime-1537534900,1032088,263,text/html
https://www.wsj.com/articles/the-colleges-that-offer-the-best-financial-futures-1536188587,1057257,290,text/html
https://www.wsj.com/articles/a-muse-embedded-in-mystery-1529691280,1030692,257,text/html
https://www.wsj.com/articles/verizon-launches-early-retirement-program-to-trim-workforce-1537882479,1032070,259,text/html
https://www.wsj.com/articles/a-startup-offers-a-new-vision-for-trading-across-different-markets-1537754461?cx_refModule=nwsrl&mod=nwsrl_journal_reports_college_rankings,1058311,291,text/html
https://www.wsj.com/news/life-arts/health-wellness,884723,287,text/html
https://www.wsj.com/news/types/art-review,643403,266,text/html
https://www.wsj.com/articles/macron-denounces-rise-of-nationalism-as-crisis-for-world-order-1537897553?mod=article_inline&tesla=y,1033092,260,text/html
https://www.wsj.com/articles/instagram-founders-exit-triggers-concerns-on-madison-avenue-1537905987?mod=article_inline&tesla=y,1077396,270,text/html
https://www.wsj.com/podcasts/latest/wsj-secrets-of-wealthy-women,120171,90,text/html
https://www.wsj.com/articles/suze-orman-put-yourself-financially-first-1537914691?mod=hp_major_pos21,1033612,259,text/html
https://www.wsj.com/articles/the-prime-effect-how-amazons-2-day-shipping-is-disrupting-retail-1537448425,957444,38,text/html
https://www.wsj.com/articles/a-multi-layered-drama-1531504215,1030035,257,text/html
https://www.wsj.com/news/types/journal-reports-college-rankings-highlights,640841,267,text/html
https://www.wsj.com/articles/throttling-the-5g-internet-1537916739?mod=hp_opin_pos3,1031502,261,text/html
https://www.wsj.com/news/author/8594,553286,271,text/html
https://www.wsj.com/articles/u-s-sanctions-venezuelas-first-lady-1537913053?mod=hp_major_pos1,1033595,259,text/html
https://www.wsj.com/articles/china-denies-u-s-navy-ships-request-for-hong-kong-visit-1537854797?mod=hp_listb_pos3,1034803,262,text/html
https://www.wsj.com/amp/articles/the-colleges-that-offer-the-best-financial-futures-1536188587,54760,33,text/html
https://www.wsj.com/news/types/music-review,642889,266,text/html
https://www.wsj.com/articles/2001-at-50-a-quiet-film-still-makes-a-big-bang-1523033090,1031048,257,text/html
https://www.wsj.com/articles/qualcomm-accuses-apple-of-stealing-intellectual-property-and-giving-it-to-intel-1537883576,1033502,259,text/html
https://www.wsj.com/articles/the-most-dangerous-place-to-bicycle-in-america-1537867800?mod=trending_now_1,954060,36,text/html
https://www.wsj.com/articles/a-tab-based-on-trust-ill-drink-to-that-1537884000?mod=hp_major_pos5,1032241,261,text/html
https://www.wsj.com/news/types/journal-reports-energy,621242,248,text/html
https://www.wsj.com/news/author/8590,414816,246,text/html
https://www.wsj.com/news/business/consumer-products,626016,271,text/html
https://www.wsj.com/articles/bitcoin-etfs-keep-trying-despite-regulators-rejections-1537754701?mod=hp_jr_pos1,1057471,291,text/html
https://www.wsj.com/news/types/journal-reports-retirement,639558,267,text/html
https://www.wsj.com/articles/softbank-leads-1-billion-investment-in-indian-hotel-chain-oyo-1537871516?mod=hp_major_pos17,1035030,262,text/html
